date,in_window,trade_id,leg_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,daily_pnl_inr
2022-03-25,True,T01,FREIGHT:L3,0.0,0.0,0.0,0.0,0.0,18935.37,0.0,880.88,19816.26
2022-03-25,True,T01,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16041.15,-16041.15
2022-03-25,True,T01,FX:T01-FX-4,0.0,0.0,0.0,0.0,0.0,-56801.06,0.0,-2626.26,-59427.32
2022-03-25,True,T01,INSURANCE:L1,0.0,0.0,0.0,0.0,0.0,490.35,0.0,15.97,506.33
2022-03-25,True,T01,INSURANCE:L2,0.0,0.0,0.0,0.0,0.0,490.62,0.0,16.82,507.44
2022-03-25,True,T01,INSURANCE:L3,0.0,0.0,0.0,0.0,0.0,490.75,0.0,17.24,507.99
2022-03-25,True,T01,INVENTORY:L1,0.0,-3754031.96,0.0,475974.18,0.0,-461951.16,0.0,-189525.61,-3929534.55
2022-03-25,True,T01,INVENTORY:L2,0.0,-3754031.96,0.0,475974.18,0.0,-461951.16,0.0,-189525.61,-3929534.55
2022-03-25,True,T01,INVENTORY:L3,0.0,-3754031.96,0.0,475974.18,0.0,-461951.16,0.0,-189525.61,-3929534.55
2022-03-25,True,T01,MCX:T01-MCX-1,0.0,6724480.07,0.0,0.0,0.0,845182.67,0.0,30601.64,7600264.38
2022-03-25,True,T01,MCX:T01-MCX-2,0.0,3362240.03,0.0,0.0,0.0,422591.34,0.0,15300.82,3800132.19
2022-03-25,True,T01,PURCHASE:L1,0.0,0.0,0.0,0.0,0.0,427190.42,0.0,14767.16,441957.59
2022-03-25,True,T01,PURCHASE:L2,0.0,0.0,0.0,0.0,0.0,427419.7,0.0,15505.27,442924.96
2022-03-25,True,T01,PURCHASE:L3,0.0,0.0,0.0,0.0,0.0,427534.32,0.0,15874.57,443408.88
2022-03-25,True,T02,BILL_COMMISSION:L1,0.0,2725.44,0.0,0.0,0.0,342.7,0.0,40.85,3108.99
2022-03-25,True,T02,BILL_COMMISSION:L2,0.0,2727.37,0.0,0.0,0.0,343.04,0.0,53.35,3123.75
2022-03-25,True,T02,DUTY:L1,0.0,65643.76,0.0,0.0,0.0,0.0,0.0,1955.36,67599.12
2022-03-25,True,T02,DUTY:L2,0.0,65643.76,0.0,0.0,0.0,0.0,0.0,1955.36,67599.12
